"louvain";"two mode";"id";"text"
"0";"row";"1";"Harry Potter"
"2";"row";"10";"Rowena Ravenclaw"
"7";"row";"100";"Scorpius Malfoy"
"2";"column";"1000";"5dc84d8e0001ae6128dbc3e8_23-Minuten2000"
"4";"column";"1001";"5dc8590a000b2ded2d52002d_Erinnerung"
"5";"column";"1002";"5dc89a4c00023c85283a468b_Youre-not-alone"
"0";"column";"1003";"5dc99819000b52ced3c3fb8_With-Demon-Eyes-Drarry"
"0";"column";"1004";"5dc9d05a00045af9e7df7f5_HPAtarashi-kikai"
"8";"column";"1005";"5dcb295a00082706e38395b_Malfoys-Geburtstagsgeschenk"
"0";"column";"1006";"5dcf03a50001f66a21d6fb49_Herzprobleme"
"5";"column";"1007";"5dcf1576000b44553508a4da_Muggel-x-Harry-Potter-Charaktere"
"7";"column";"1008";"5dcffcfa0003a43516619d98_Das-Licht-der-Zukunft"
"0";"column";"1009";"5dd0598500044a9714ade6d4_Weisser-Drache"
"0";"column";"101";"51ceec45000311b5149ee10c_Ex-Domo"
"0";"column";"1010";"5dd068510000c781a1ba2d2_Wenn-die-Magie-dich-verraet"
"2";"column";"1011";"5dd0693f000b668b30ae733c_Dark-Harry--Seelen-Schmerz"
"8";"column";"1012";"5dd18b820009ea2e26783296_Tagebuch-eines-Gefangenen"
"0";"column";"1013";"5dd18f0f000b67842dcdedae_Chronicles-of-sin"
"2";"column";"1014";"5dd1a3950000ac631875017f_Der-Gefangene"
"6";"column";"1015";"5dd468ee0005ed6038355de2_Ein-Weihnachtswunder"
"1";"column";"1016";"5dd48e0b0009b5031cc726dd_Hunde-die-bellen-beissen-nicht"
"3";"column";"1017";"5dd5466c00011f9c804c670_Der-SommerJunge"
"0";"column";"1018";"5dd56fc000030dd6946886f_Das-Vertrauen-einer-Black"
"4";"column";"1019";"5dd6daba000a84cf1ff809ad_2-Traenkemeister"
"6";"column";"102";"51d2ab790001f5951cc2b17a_Remember-Me"
"0";"column";"1021";"5dd82e03000b6b5c1087814a_Ava-Peterson-und-ihr-beschwerlicher-Weg-durch"
"0";"column";"1022";"5dd8624100092b6015492e69_Ein-neuer-Anfang--In-der-Welt"
"1";"column";"1023";"5dd874bb0008ecac192b0614_Eine-zweite-Chance"
"0";"column";"1024";"5ddac67b000504911c90342a_Auf-den-Spuren-des-Moerders-Arbeitstitel"
"5";"column";"1025";"5ddbb9080001ae612241faa6_Like-a-dark-horse"
"3";"column";"1027";"5ddc9e38000092bde0a0af6_Accidents-happen"
"4";"column";"1028";"5dded271000b64891491ec26_Get-out"
"6";"column";"1029";"5de01f80000b29fa2fd55c43_Widerstand-gegen-die-Finsternis"
"1";"column";"103";"51d4202e0002df7a19a56d90_Padfoot--oder-wie-Sirius-Black-sein"
"0";"column";"1030";"5de0cf5d000b701526257596_Pride-Ambition-Cunning"
"6";"column";"1031";"5de16000000868e83097ed96_24-Days-To-Christmas-Introducing-myself-Adventskalender"
"2";"column";"1032";"5de192c9000b58171b1d5c6b_Wer-soll-denn-da-noch-durchsehen"
"0";"column";"1033";"5de273ad000ac1e1355b5404_I-dont-remember-anything"
"0";"column";"1035";"5de2f553000b445518b8abe9_Hogwarts--Arbeitstitel"
"0";"column";"1036";"5de2f5560004d69c38caddf4_In-the-bleak-midwinter"
"0";"column";"1037";"5de2f5df00006ac41754f6ca_Gegen-die-Einsamkeit"
"3";"column";"1038";"5de3a7460006ffcf253df18a_Neue-Wege-neue-Geheimnisse"
"2";"column";"1039";"5de3e819000b71771f710194_Wolfsblut"
"2";"row";"104";"Aberforth Dumbledore"
"4";"column";"1040";"5de40b010008764debe6667_Die-Magie-hinter-dem-Spiegel"
"0";"column";"1041";"5de419190006323cec2d090_Broken-Hearts-and-Christmas-Kisses"
"0";"column";"1042";"5de4e6be00015e6211c78cc1_Sukkubus"
"3";"column";"1044";"5de632fe0008a2e4304741f5_Ein-Leben-danach"
"5";"column";"1045";"5de6c8620001eecd1cfa9b33_Augen-koennen-dich-verraten-Arbeitstitel"
"1";"column";"1046";"5de7982e000b5f97d73ca9b_Das-Schicksal-hasst-uns-wirklich"
"3";"column";"1047";"5de7bd0f000aa3271b9e8fed_Aber-wir-sind-kein-Scherz-oder"
"4";"column";"1048";"5de819f7000b73bd133e5c0d_The-inner-circle"
"4";"column";"1049";"5de9051e000b6f7037e064de_Eine-ungewoehnliche-Entwicklung"
"2";"column";"105";"51d444b900028ce52f7e92f3_Liebende-Feinde"
"4";"column";"1050";"5ded2299000b6489181619ad_Drabbles"
"3";"column";"1052";"5dee4abb000b771d246b5ea7_Liebe-kennt-kein-zurueck"
"9";"column";"1053";"5deea920000b7753167836c2_Dudley-Dursley-und-die-Welt-der-Magie"
"7";"column";"1054";"5def901a000b77e91b0b9576_Das-Leben-danach"
"3";"column";"1055";"5df00742000af7b125fba324_blaue-Jade"
"7";"column";"1056";"5df0df01000b29fa127a7de5_Maerchen-schreibt-die-Zeit"
"0";"column";"1057";"5df29c6d000514ca39522314_Lucidum-Drarry"
"1";"column";"1058";"5df2cad30003e4d16b0bde9_Defeating-the-principles-of-time"
"4";"column";"1059";"5df3b074000b6f852f6a195d_Durch-den-Wind"
"2";"row";"106";"Fawkes"
"1";"column";"1061";"5df403f800008168a8844f0_Ratten"
"1";"column";"1062";"5df51ff50002df7a15cb6c7b_Irgendwie-dazwischen"
"5";"column";"1063";"5df6424b00056d22b27988d_Blut-und-Wein"
"8";"row";"1064";"Alphard Black"
"8";"column";"1065";"5df64db3000abf0b1ffa80ff_Weihnachtliche-Zaubergeschichten"
"8";"row";"1066";"Aurora Sinistra"
"8";"row";"1067";"Benjy Fenwick"
"0";"column";"1068";"5df788220007535b389c03b6_Im-Auftrag-des-Boesen"
"1";"column";"1069";"5df7a122000124562da839f5_Suddenly-I-See"
"2";"row";"107";"Rufus Scrimgeour"
"0";"column";"1070";"5df7cd68000b7c90224a7300_Schneegefluester"
"0";"column";"1071";"5df8c5040008622e17e6aa86_love-on-roundabout-way"
"0";"column";"1073";"5dfa03550008ac803940e941_Sanctimonia-vincet-semper"
"8";"column";"1074";"5dfa569a000a68f0310c855c_Die-Unbarmherzigkeit-des-Alters"
"0";"column";"1075";"5dfa9096000aa0b416961fc0_Harry-Potter-und-die-andere-Sichtweise"
"3";"column";"1076";"5dfb3ee60003ecfd15242434_-Zufaelliges-Aufeinandertreffen-oder-Wie-sich-mein"
"0";"column";"1077";"5dfb93ed00063e2918626b4f_Zeit-sich-zu-Oeffnen"
"5";"column";"1078";"5dfc9793000a379825163609_Harry-Potter-und-der-geheimnisvolle-Schaedel"
"3";"row";"108";"Terence Higgs"
"1";"column";"1080";"5dfe5f880001ded938f2a1c6_Tonks--die-Rumtreiber"
"4";"column";"1081";"5dff4083000b4c0eb9b34cc_Harry-Potter-und-der-Orden-des-Phoenix"
"5";"column";"1082";"5dffb3ac00014a2a2f1d579c_Die-zahlreichen-Facetten-des-Lucius-Malfoy"
"5";"column";"1083";"5dffb99b0008ecac106c9acc_Auch-ohne-Worte"
"4";"row";"1084";"Eileen Prince"
"4";"column";"1085";"5dffc7410008ff8035ad8897_Sevs-Flucht"
"4";"row";"1086";"Tobias Snape"
"4";"column";"1087";"5e009bd60001ae6120418114_Brueckenbauer"
"0";"column";"1088";"5e00aac0000a95b93b57773e_Slytherin"
"0";"column";"1089";"5e00e41a000451873575b5ff_Der-MistZweig"
"0";"column";"109";"51e80305000239be241d68c7_Dear-heart-why-him"
"0";"column";"1090";"5e022b64000587a22c3475a3_Melania-Black--Bande-der-Freundschaft"
"3";"column";"1091";"5e02bc990002023c1b72d403_Lass-mich-nicht-allein"
"6";"row";"1092";"Phineas Nigellus Black"
"6";"column";"1093";"5e0324030000369a21db6114_Iola-smiled"
"3";"column";"1094";"5e03fc94000b03ba17e3ac2d_Mister-Granger-Miss-Weasley-und-Miss-Potter"
"5";"column";"1095";"5e0480890003db6097adc07_For-Hogwarts-A-Regency-Gamble-Fuer-Hogwarts"
"0";"column";"1096";"5e04923e000ac7c923959c58_Ein-besserer-Weg"
"1";"column";"1097";"5e05d57f000b7b9a3a0e5e78_Eine-ueberaus-verrueckte-Rumtreiber-OSSammlung"
"4";"column";"1098";"5e061da500088e4d22e3dfa1_Casuras-zauberhafte-Maerchenstunde"
"4";"row";"1099";"Thomas Riddle"
"2";"row";"11";"Salazar Slytherin"
"2";"column";"110";"51ff943900006dac3024f603_Wissen-Zeit-Macht--Ouroboros"
"0";"column";"1100";"5e0626fa000b84d319e51573_Die-Dunklen-Geschwister"
"0";"column";"1101";"5e06355f000a69982c75b519_Tanz-im-Regen"
"5";"column";"1102";"5e06399c00071bce328fa600_Seelentraeume"
"3";"column";"1103";"5e08061b0005a9df2f4942a6_-MSTing-Leviosa-Lucretia-Lestrange-oder-auch"
"3";"column";"1104";"5e08fcea0003d7ce9d1c710_Willkommen-in-Waldlichtung-oder-warum-es-Mainstream"
"3";"column";"1105";"5e0942a3000780582903be99_mistress"
"1";"column";"1106";"5e09ed670004fcf2115ff42d_A-Marauders-LoveStory"
"4";"column";"1107";"5e0a0f51000b73bd19d3b314_Zurueck-ins-Leben"
"1";"column";"1108";"5e0a5c7f00016bbb16c8143b_Whistleton-Row"
"0";"column";"1109";"5e0a6b0200094c9029a81ffe_Schicksalsnacht"
"2";"row";"111";"Gellert Grindelwald"
"1";"column";"1110";"5e0b6938000b71ad3908f14f_Nicht-noch-einer-mit-Minderwertigkeitskomplexen"
"1";"column";"1111";"5e0be5dd00046fef2473ee09_Neujahr"
"7";"column";"1112";"5e0bfa12000233cd128a6ed3_Silvesterwuensche"
"4";"column";"1114";"5e0c8bb4000b73bd231b49aa_Healing"
"4";"column";"1115";"5e0c8da40000b37814e68105_Lullaby---Wiegenlied"
"3";"column";"1116";"5e0c94b80002fa4a14941c4d_Skikurs-fuer-Anfaenger"
"4";"column";"1117";"5e0c9f300003ffa9363091d2_Liebe-kann-so-schoen-sein"
"0";"column";"1118";"5e0ca93e000b8914327684bb_Mindreader"
"2";"row";"112";"Irma Pince"
"4";"column";"1120";"5e0cbd69000ade6428e35f12_An-Neujahr-ist-alles-immer-etwas-anders"
"0";"column";"1121";"5e0ccfea000b335116ba9d95_-Unverhofft-kommt-oft"
"4";"column";"1122";"5e0cf2b0000018a516ab48c3_Heilung"
"1";"column";"1123";"5e0d16ad000742077a91e95_Das-letzte-Jahr"
"1";"column";"1124";"5e0d2e2c000b47f41c5c26c9-Januar-Tunichtgut-by-Emmice"
"3";"column";"1125";"5e0de16c0004a7ae32f12343_Id-rather-be-a-Muggle"
"0";"column";"1126";"5e0e0f26000b8a1c290cc4b2_Drastoria-Fanfiction"
"5";"column";"1127";"5e0e1e0f000b8a2867f7720_Lumine-I--Dornroeschenschlaf"
"4";"column";"1128";"5e0e38d2000b82fc241520e8_New-Years-Eve"
"0";"column";"1129";"5e0e40cc000b2778389e2827_Eine-Geburtstagsnacht-Shape-of-you"
"4";"column";"113";"5203462600031ea71dc3fd3f_Ausgangssperre-Pff"
"0";"column";"1130";"5e0e585d000b512a2bd74419_Die-Buecher-von"
"8";"column";"1131";"5e0f2737000b7b3d2d2bfe2b_Zwischen-Hass-und-Freundschaft"
"4";"column";"1132";"5e0f668f00076f2a15a0a56d_Wieder-gemeinsam"
"0";"column";"1133";"5e0f7eee000270fb1da21348_Shelter"
"5";"column";"1134";"5e0f80a5000713d311613d78_Wer-bin-ich"
"8";"column";"1135";"5e0fa062000b67a52df9224b_Das-Tagebuch-der-Emilia-Conway"
"0";"column";"1136";"5e0fbe7a0002fa4a13d42549_Ein-Tag-voller-Tollpatschigkeit"
"0";"column";"1137";"5e10890d000b6784246cc8b2_Ein-heisser-Sommer"
"5";"column";"1138";"5e10959e000b186c3a4dffa6_those-forbidden-lips"
"0";"column";"1139";"5e1098840002bb9734cfbbf6_Zwischen-Liebe-Frieden-und-Verrat"
"3";"column";"114";"520e9e5a00033f689e6a780_Ich-bin-am-Leben"
"3";"column";"1140";"5e109a400004545a1652b0f4_After-the-Battle"
"0";"column";"1142";"5e10b5a1000514ca39b2329d_Juli-2013-Drarry"
"3";"column";"1143";"5e10b77000081e18bf2d8b8_Der-Fluegelschlag-eines-Schmetterlings"
"5";"column";"1144";"5e10ce430005f4382bf5bbba_VerratFamilieLiebe"
"1";"column";"1145";"5e11011a000573a21b499186_Nur-ein-Wort"
"4";"column";"1146";"5e111ec100062a32bea086f_Wintercold"
"4";"column";"1147";"5e112b600009730c2fc95b74_OS--Severus-Snape--Der-erste"
"5";"column";"1148";"5e11bebc000b8a286061189_Lumine-II--Wolfsbrut"
"0";"column";"1149";"5e11def1000108ae2549a754_Der-LiebesWeihnachtspunsch"
"4";"column";"115";"523a9866000073d010ed33be_The-Marriage-Stone"
"3";"column";"1150";"5e11e360000b47f421b8a3e5-Januar-Prosperus-lernt-Englisch-by-Ginada"
"3";"column";"1151";"5e11f43a000559f5316cc827_Blackhearted"
"4";"column";"1152";"5e120916000b64891aad2153_Happy-fing-Birthday"
"3";"column";"1153";"5e1221590008daeb1d207075_Quidditchliebe"
"4";"column";"1154";"5e122ed1000805b531f2f8fc_Occidendum"
"0";"column";"1155";"5e1236ef0000553a2de8e8f6_Angels-vs-Deamons--der-Oneshot"
"0";"column";"1156";"5e1254c5000b6e5f18843b97_Die-dunkle-Nacht"
"2";"column";"1157";"5e126998000a68f034dd5c98_Bane"
"3";"column";"1158";"5e128bf100035cfc9554283_A-Noel-toute-la-famille-se-reunit"
"4";"column";"1159";"5e128c81000a346e646d9b3_Pain"
"7";"row";"116";"Rose Weasley"
"0";"column";"1160";"5e12a69300037024e8f4cb8_Der-Preis-fuer-Freiheit"
"0";"column";"1161";"5e131aa4000af85f28520c10_Romantische-Weihnachten-ein-Hinny-OneShot"
"0";"column";"1163";"5e1349cd0000e7e12f649794_Odium"
"2";"column";"1164";"5e137178000b7d2328c894c7_Am-Anfang-war-die-Magie"
"2";"row";"1165";"Merlin"
"1";"column";"1167";"5e13a29e000b1e33fc82d7a_Jily-Halloween-1979Der-Morgen-danach"
"9";"column";"1168";"5e13b75c000b4b931d040e88_Eine-leidenschaftliche-Entfuehrung"
"0";"column";"1169";"5e13c68a000abf0b29ca0819_Tage-nach-Sectumsempra"
"7";"column";"117";"527266aa0000c764249550a6_Nur-einen-Herzschlag-entfernt"
"7";"column";"1170";"5e142ca20002525d21066a39_Mistelzweige-und-andere-Probleme"
"3";"column";"1172";"5e147cce000a47d33b4ad4b5_Die-Geschichte-der-Aquamarine"
"0";"column";"1173";"5e14a5c40003ee661b886892_Harrys-persoenliche-Horrorgeschichte"
"0";"column";"1174";"5e14babe000b68ce38303758_Dormiens-mortiferum"
"3";"column";"1175";"5e14d30c000ae9951e1b86f3_a-ghost-of-christmas-past"
"3";"column";"1176";"5e14e1bb00046f2426c902e6_Alle-Jahre-wieder--die-Familie-ist"
"1";"column";"1178";"5e14e61d00089d5c30c15520_WeihnachtsWichtelWerke"
"8";"column";"1179";"5e15071000061b4033c01f6a_Weil-wir-uns-nicht-einfach-unterkriegen-lassen"
"0";"column";"118";"52757075000368f62a6e6892_Jenny-Danger--Harry-Potter"
"1";"column";"1180";"5e15c6a50009a8b511e0dc82_Silvestertradition"
"4";"column";"1181";"5e170b7800006ae5a1073c2_Eine-erfolgreiche-Geburtstagsfeier"
"0";"column";"1182";"5e171096000b896864129db_Doppelt-ist-zuviel-des-Guten"
